"title"	"auteur"	"pid"	"venue"	"volume"	"number"	"pages"	"year"	"key"	"type"	"doi"	"ee"	"url"
"A combined post-filtering method to improve accuracy of variational optical flow estimation."	"    Zhigang Tu 0001    Nico Van der Aa    Coert Van Gemeren    Remco C. Veltkamp"	"    142/4070-1    134/3037    142/4024    v/RemcoCVeltkamp"	"Pattern Recognit."	"47"	"5"	"1926-1940"	"2014"	"journals/pr/TuAGV14"	"Journal Articles"	"10.1016/J.PATCOG.2013.11.026"	"https://doi.org/10.1016/j.patcog.2013.11.026"	"https://dblp.org/rec/journals/pr/TuAGV14"
"A combined post-filtering method to improve accuracy of variational optical flow estimation."	"    Zhigang Tu 0001    Nico Van der Aa    Coert Van Gemeren    Remco C. Veltkamp"	"    142/4070-1    134/3037    142/4024    v/RemcoCVeltkamp"	"Pattern Recognit."	"47"	"5"	"1926-1940"	"2014"	"journals/pr/TuAGV14"	"Journal Articles"	"10.1016/J.PATCOG.2013.11.026"	"https://doi.org/10.1016/j.patcog.2013.11.026"	"https://dblp.org/rec/journals/pr/TuAGV14"
"Microstructural brain development between 30 and 40 weeks corrected age in a longitudinal cohort of extremely preterm infants."	"    Karina J. Kersbergen    Alexander Leemans    Floris Groenendaal    Niek E. van der Aa    Max A. Viergever    Linda S. de Vries    Manon J. N. L. Benders"	"    118/8327    65/2166    79/1168    165/4549    77/2011    157/6422    118/8309"	"NeuroImage"	"103"	"/"	"214-224"	"2014"	"journals/neuroimage/KersbergenLGAVV14"	"Journal Articles"	"10.1016/J.NEUROIMAGE.2014.09.039"	"https://doi.org/10.1016/j.neuroimage.2014.09.039"	"https://dblp.org/rec/journals/neuroimage/KersbergenLGAVV14"
"Interoperation of world-wide production e-Science infrastructures."	"    Morris Riedel    Erwin Laure    Thomas Soddemann    Laurence Field    John-Paul Navarro    James Casey    Maarten Litmaath    Jean-Philippe Baud    Birger Koblitz    Charlie Catlett    Dane Skow    Cindy Zheng    Philip M. Papadopoulos    Mason J. Katz    Neha Sharma 0001    Oxana Smirnova    Balázs Kónya    Peter W. Arzberger    Frank Würthwein    Abhishek Singh Rana    Terrence Martin    M. Wan    Von Welch    Tony Rimovsky    Steven Newhouse    Andrea Vanni    Yoshio Tanaka    Yusuke Tanimura    Tsutomu Ikegami    David Abramson    Colin Enticott    Graham Jenkins    Ruth Pordes    Steven Timm    Gidon Moont    Mona Aggarwal    D. Colling    Olivier van der Aa    Alex Sim    Vijaya Natarajan    Arie Shoshani    Junmin Gu    S. Chen    Gerson Galang    Riccardo Zappi    Luca Magnoni    Vincenzo Ciaschini    Michele Pace    Valerio Venturi    Moreno Marzolla    Paolo Andreetto    Robert Cowles    Shaowen Wang    Yuji Saeki    Hitoshi Sato    Satoshi Matsuoka    Putchong Uthayopas    Somsak Sriprayoonsakul    Oscar Koeroo    Matthew Viljoen    Laura Pearlman    Stephen Pickles    David Wallom    Glenn Moloney    Jerome Lauret    Jim Marsteller    Paul Sheldon    Surya Pathak    Shaun De Witt    Jirí Mencák    Jens Jensen    Matt Hodges    Derek Ross    Sugree Phatanapherom    Gilbert Netzer    Anders Rhod Gregersen    Mike Jones 0002    S. Chen    Péter Kacsuk    Achim Streit    Daniel Mallmann    Felix Wolf 0001    Thomas Lippert    Thierry Delaitre    Eduardo Huedo    Neil Geddes"	"    80/6331    15/4220    99/5495    30/1388    00/5978    14/6016    55/3984    64/5466    07/1514    c/CECatlett    38/1238    53/4930    03/3218    88/6394    56/3969    68/6534    80/3340    93/1841    69/5000    64/912    55/3165    22/1093    21/331    44/9216    45/6918    81/9216    17/7033    12/5779    03/69    09/6203    67/4816    00/9216    79/866    38/9216    91/6029    15/3553    c/DaveColling    30/3265    75/4666    97/4667    s/ArieShoshani    70/1042    27/1368    32/9217    71/3200    14/6294    23/1104    31/5596    45/4878    83/27    95/6517    33/9216    07/852    62/9216    93/1923    57/4464    30/3663    46/6348    02/4706    30/4361    73/821    70/4472    32/1446    48/9216    13/9216    71/5202    47/6354    38/8051    07/1817    36/9216    86/2725    38/6129    84/4399    45/323    87/1170    85/9216    44/1424-2    27/1368    95/1656    s/AchimStreit    56/6528    w/FelixWolf    13/5159    05/6007    15/4102    55/5586"	"Concurrency and Computation - Practice and Experience"	"21"	"8"	"961-990"	"2009"	"journals/concurrency/RiedelLS09"	"Journal Articles"	"10.1002/CPE.1402"	"https://doi.org/10.1002/cpe.1402"	"https://dblp.org/rec/journals/concurrency/RiedelLS09"
"Guidelines for enhancing data locality in selected machine learning algorithms."	"    Imen Chakroun    Tom Vander Aa    Tom Ashby"	"    116/2990    44/590    90/2603"	"Intell. Data Anal."	"23"	"5"	"1003-1020"	"2019"	"journals/ida/ChakrounAA19"	"Journal Articles"	"10.3233/IDA-184287"	"https://doi.org/10.3233/IDA-184287"	"https://dblp.org/rec/journals/ida/ChakrounAA19"
"Guidelines for enhancing data locality in selected machine learning algorithms."	"    Imen Chakroun    Tom Vander Aa    Tom Ashby"	"    116/2990    44/590    90/2603"	"Intell. Data Anal."	"23"	"5"	"1003-1020"	"2019"	"journals/ida/ChakrounAA19"	"Journal Articles"	"10.3233/IDA-184287"	"https://doi.org/10.3233/IDA-184287"	"https://dblp.org/rec/journals/ida/ChakrounAA19"
"A high-level library for multidimensional arrays programming in computational science."	"    Imen Chakroun    Tom Vander Aa    Bruno De Fraine    Tom Haber    Pascal Costanza    Roel Wuyts"	"    116/2990    44/590    71/2093    71/2951    72/3259    12/196"	"Concurrency and Computation - Practice and Experience"	"30"	"7"	"/"	"2018"	"journals/concurrency/ChakrounAFHCW18"	"Journal Articles"	"10.1002/CPE.4376"	"https://doi.org/10.1002/cpe.4376"	"https://dblp.org/rec/journals/concurrency/ChakrounAFHCW18"
"Large-Scale Bayesian Probabilistic Matrix Factorization with Memo-Free Distributed Variational Inference."	"    Guangyong Chen    Fengyuan Zhu    Pheng-Ann Heng"	"    175/1354    160/3973    52/2889"	"TKDD"	"12"	"3"	"31:1-31:24"	"2018"	"journals/tkdd/ChenZH18"	"Journal Articles"	"10.1145/3161886"	"https://doi.org/10.1145/3161886"	"https://dblp.org/rec/journals/tkdd/ChenZH18"
"Large-Scale Bayesian Probabilistic Matrix Factorization with Memo-Free Distributed Variational Inference."	"    Guangyong Chen    Fengyuan Zhu    Pheng-Ann Heng"	"    175/1354    160/3973    52/2889"	"TKDD"	"12"	"3"	"31:1-31:24"	"2018"	"journals/tkdd/ChenZH18"	"Journal Articles"	"10.1145/3161886"	"https://doi.org/10.1145/3161886"	"https://dblp.org/rec/journals/tkdd/ChenZH18"
"Large-Scale Bayesian Probabilistic Matrix Factorization with Memo-Free Distributed Variational Inference."	"    Guangyong Chen    Fengyuan Zhu    Pheng-Ann Heng"	"    175/1354    160/3973    52/2889"	"TKDD"	"12"	"3"	"31:1-31:24"	"2018"	"journals/tkdd/ChenZH18"	"Journal Articles"	"10.1145/3161886"	"https://doi.org/10.1145/3161886"	"https://dblp.org/rec/journals/tkdd/ChenZH18"
"Array Interleaving - An Energy-Efficient Data Layout Transformation."	"    Namita Sharma 0001    Preeti Ranjan Panda    Francky Catthoor    Praveen Raghavan    Tom Vander Aa"	"    127/6803-1    46/1929    61/3302    61/4532    44/590"	"ACM Trans. Design Autom. Electr. Syst."	"20"	"3"	"44:1-44:26"	"2015"	"journals/todaes/SharmaPCRA15"	"Journal Articles"	"10.1145/2747875"	"https://doi.org/10.1145/2747875"	"https://dblp.org/rec/journals/todaes/SharmaPCRA15"
"Power Estimation at Different Abstraction Levels for Wireless Baseband Processors."	"    Martin Palkovic    Peter Debacker    Prabhat Avasare    Steven Dupont    Tom Vander Aa"	"    64/3233    118/8568    73/1036    61/3079    44/590"	"J. Low Power Electronics"	"8"	"5"	"726-738"	"2012"	"journals/jolpe/PalkovicDADA12"	"Journal Articles"	"10.1166/JOLPE.2012.1232"	"https://doi.org/10.1166/jolpe.2012.1232"	"https://dblp.org/rec/journals/jolpe/PalkovicDADA12"
"High-Throughput, Low-Power Software-Defined Radio Using Reconfigurable Processors."	"    Tomoya Suzuki    Hideki Yamada    Toshiyuki Yamagishi    Daisuke Takeda    Koji Horisaki    Tom Vander Aa    Toshio Fujisawa    Liesbet Van der Perre    Yasuo Unekawa"	"    60/833    66/5191    24/10640    78/5368    43/10640    44/590    02/1441    45/24    78/10641"	"IEEE Micro"	"31"	"6"	"19-28"	"2011"	"journals/micro/SuzukiYYTHAFPU11"	"Journal Articles"	"10.1109/MM.2011.95"	"https://doi.org/10.1109/MM.2011.95"	"https://dblp.org/rec/journals/micro/SuzukiYYTHAFPU11"
"Still Image Processing on Coarse-Grained Reconfigurable Array Architectures."	"    Matthias Hartmann    Vasileios (Vassilis) Pantazis    Tom Vander Aa    Mladen Berekovic    Christian Hochberger"	"    64/2845    78/8122    44/590    b/MladenBerekovic    h/ChristianHochberger"	"Signal Processing Systems"	"60"	"2"	"225-237"	"2010"	"journals/vlsisp/HartmannPABH10"	"Journal Articles"	"10.1007/S11265-008-0309-0"	"https://doi.org/10.1007/s11265-008-0309-0"	"https://dblp.org/rec/journals/vlsisp/HartmannPABH10"
"An Efficient Memory Organization for High-ILP Inner Modem Baseband SDR Processors."	"    Bjorn De Sutter    Osman Allam    Praveen Raghavan    Roeland Vandebriel    Hans Cappelle    Tom Vander Aa    Bingfeng Mei"	"    80/5111    97/2768    61/4532    99/2666    45/4804    44/590    78/3930"	"Signal Processing Systems"	"61"	"2"	"157-179"	"2010"	"journals/vlsisp/SutterARVCAM10"	"Journal Articles"	"10.1007/S11265-009-0412-X"	"https://doi.org/10.1007/s11265-009-0412-x"	"https://dblp.org/rec/journals/vlsisp/SutterARVCAM10"
"Implementation of a Coarse-Grained Reconfigurable Media Processor for AVC Decoder."	"    Bingfeng Mei    Bjorn De Sutter    Tom Vander Aa    M. Wouters    Andreas Kanstein    Steven Dupont"	"    78/3930    80/5111    44/590    99/5226    89/6174    61/3079"	"Signal Processing Systems"	"51"	"3"	"225-243"	"2008"	"journals/vlsisp/MeiSAWKD08"	"Journal Articles"	"10.1007/S11265-007-0152-8"	"https://doi.org/10.1007/s11265-007-0152-8"	"https://dblp.org/rec/journals/vlsisp/MeiSAWKD08"
"Still Image Processing on Coarse-Grained Reconfigurable Array Architectures."	"    Matthias Hartmann    Vasileios (Vassilis) Pantazis    Tom Vander Aa    Mladen Berekovic    Christian Hochberger"	"    64/2845    78/8122    44/590    b/MladenBerekovic    h/ChristianHochberger"	"Signal Processing Systems"	"60"	"2"	"225-237"	"2010"	"journals/vlsisp/HartmannPABH10"	"Journal Articles"	"10.1007/S11265-008-0309-0"	"https://doi.org/10.1007/s11265-008-0309-0"	"https://dblp.org/rec/journals/vlsisp/HartmannPABH10"
"Instruction buffering exploration for low energy embedded processors."	"    Tom Vander Aa    Murali Jayapala    Francisco Barat    Geert Deconinck    Rudy Lauwereins    Henk Corporaal    Francky Catthoor"	"    44/590    69/4    73/935    d/GeertDeconinck    55/5766    53/6375    61/3302"	"J. Embedded Computing"	"1"	"3"	"341-351"	"2005"	"journals/jec/AaJBDLCC05"	"Journal Articles"	"/"	"http://content.iospress.com/articles/journal-of-embedded-computing/jec00037"	"https://dblp.org/rec/journals/jec/AaJBDLCC05"
"Clustered Loop Buffer Organization for Low Energy VLIW Embedded Processors."	"    Murali Jayapala    Francisco Barat    Tom Vander Aa    Francky Catthoor    Henk Corporaal    Geert Deconinck"	"    69/4    73/935    44/590    61/3302    53/6375    d/GeertDeconinck"	"IEEE Trans. Computers"	"54"	"6"	"672-683"	"2005"	"journals/tc/JayapalaBACCD05"	"Journal Articles"	"10.1109/TC.2005.92"	"https://doi.org/10.1109/TC.2005.92"	"https://dblp.org/rec/journals/tc/JayapalaBACCD05"
"Instruction buffering exploration for low energy embedded processors."	"    Tom Vander Aa    Murali Jayapala    Francisco Barat    Geert Deconinck    Rudy Lauwereins    Henk Corporaal    Francky Catthoor"	"    44/590    69/4    73/935    d/GeertDeconinck    55/5766    53/6375    61/3302"	"J. Embedded Computing"	"1"	"3"	"341-351"	"2005"	"journals/jec/AaJBDLCC05"	"Journal Articles"	"/"	"http://content.iospress.com/articles/journal-of-embedded-computing/jec00037"	"https://dblp.org/rec/journals/jec/AaJBDLCC05"
"E-voting in Jordan - Assessing readiness and developing a system."	"    Emran Aljarrah    Hamzah Elrehail    Bashar Aababneh"	"    185/2737    185/2645    185/2776"	"Comput. Hum. Behav."	"63"	"/"	"860-867"	"2016"	"journals/chb/AljarrahEA16"	"Journal Articles"	"10.1016/J.CHB.2016.05.076"	"https://doi.org/10.1016/j.chb.2016.05.076"	"https://dblp.org/rec/journals/chb/AljarrahEA16"
"Improving Automatic Polyp Detection Using CNN by Exploiting Temporal Dependency in Colonoscopy Video."	"    Hemin Ali Qadir    Ilangko Balasingham    Johannes Solhusvik    Jacob Bergsland    Lars Aabakken    Younghak Shin"	"    224/9967    58/3918    39/10250    115/5206    179/4250    166/9552"	"IEEE J. Biomedical and Health Informatics"	"24"	"1"	"180-193"	"2020"	"journals/titb/QadirBSBAS20"	"Journal Articles"	"10.1109/JBHI.2019.2907434"	"https://doi.org/10.1109/JBHI.2019.2907434"	"https://dblp.org/rec/journals/titb/QadirBSBAS20"
"A Framework With a Fully Convolutional Neural Network for Semi-Automatic Colon Polyp Annotation."	"    Hemin Ali Qadir    Johannes Solhusvik    Jacob Bergsland    Lars Aabakken    Ilangko Balasingham"	"    224/9967    39/10250    115/5206    179/4250    58/3918"	"IEEE Access"	"7"	"/"	"169537-169547"	"2019"	"journals/access/QadirSBAB19"	"Journal Articles"	"10.1109/ACCESS.2019.2954675"	"https://doi.org/10.1109/ACCESS.2019.2954675"	"https://dblp.org/rec/journals/access/QadirSBAB19"
"Edge density based automatic detection of inflammation in colonoscopy videos."	"    Igor Sevo    Aleksej Avramovic    Ilangko Balasingham    Ole Jakob Elle    Jacob Bergsland    Lars Aabakken"	"    179/0149    50/9303    58/3918    11/1311    115/5206    179/4250"	"Comp. in Bio. and Med."	"72"	"/"	"138-150"	"2016"	"journals/cbm/SevoABEBA16"	"Journal Articles"	"10.1016/J.COMPBIOMED.2016.03.017"	"https://doi.org/10.1016/j.compbiomed.2016.03.017"	"https://dblp.org/rec/journals/cbm/SevoABEBA16"
"PeQASO - Perceptual Quality Assessment of Streamed Videos Using Optical Flow Features."	"    Mohammed A. Aabed    Ghassan AlRegib"	"    193/4270    83/1655"	"TBC"	"65"	"3"	"534-545"	"2019"	"journals/tbc/AabedA19"	"Journal Articles"	"10.1109/TBC.2018.2881363"	"https://doi.org/10.1109/TBC.2018.2881363"	"https://dblp.org/rec/journals/tbc/AabedA19"
"In Vivo 3D Imaging of Retinal Neovascularization Using Multimodal Photoacoustic Microscopy and Optical Coherence Tomography Imaging."	"    Van Phuc Nguyen    Yanxiu Li    Michael Aaberg    Wei Zhang 0108    Xueding Wang    Yannis M. Paulus"	"    172/4345    235/9753    235/9855    10/4661-108    06/1051    235/9896"	"J. Imaging"	"4"	"12"	"150"	"2018"	"journals/jimaging/NguyenLAZWP18"	"Journal Articles"	"10.3390/JIMAGING4120150"	"https://doi.org/10.3390/jimaging4120150"	"https://dblp.org/rec/journals/jimaging/NguyenLAZWP18"
"Inequality in current and lifetime income."	"    Rolf Aaberge    Magne Mogstad"	"    41/11291    159/8748"	"Social Choice and Welfare"	"44"	"2"	"217-230"	"2015"	"journals/scw/AabergeM15"	"Journal Articles"	"10.1007/S00355-014-0838-3"	"https://doi.org/10.1007/s00355-014-0838-3"	"https://dblp.org/rec/journals/scw/AabergeM15"
"Ranking intersecting Lorenz curves."	"Rolf Aaberge"	"41/11291"	"Social Choice and Welfare"	"33"	"2"	"235-259"	"2009"	"journals/scw/Aaberge09"	"Journal Articles"	"10.1007/S00355-008-0354-4"	"https://doi.org/10.1007/s00355-008-0354-4"	"https://dblp.org/rec/journals/scw/Aaberge09"
"Erratum to &quot;Axiomatic characterization of the Gini coefficient and Lorenz curve orderings&quot; [J. Econ. Theory 101 (2001) 115-132]."	"Rolf Aaberge"	"41/11291"	"J. Econ. Theory"	"140"	"1"	"e1"	"2008"	"journals/jet/Aaberge08"	"Journal Articles"	"10.1016/J.JET.2004.07.004"	"https://doi.org/10.1016/j.jet.2004.07.004"	"https://dblp.org/rec/journals/jet/Aaberge08"
"Erratum to &quot;Axiomatic characterization of the Gini coefficient and Lorenz curve orderings&quot; [J. Econ. Theory 101 (2001) 115-132]."	"Rolf Aaberge"	"41/11291"	"J. Econ. Theory"	"140"	"1"	"e1"	"2008"	"journals/jet/Aaberge08"	"Journal Articles"	"10.1016/J.JET.2004.07.004"	"https://doi.org/10.1016/j.jet.2004.07.004"	"https://dblp.org/rec/journals/jet/Aaberge08"
"Characterizations of Lorenz curves and income distributions."	"Rolf Aaberge"	"41/11291"	"Social Choice and Welfare"	"17"	"4"	"639-653"	"2000"	"journals/scw/Aaberge00"	"Journal Articles"	"10.1007/S003550000046"	"https://doi.org/10.1007/s003550000046"	"https://dblp.org/rec/journals/scw/Aaberge00"
"Ontology and Ontology Construction - Background and Practices."	"    Terje Aaberge    Rajendra Akerkar"	"    84/98    03/6153"	"IJCSA"	"9"	"2"	"32-41"	"2012"	"journals/ijcsa/AabergeA12"	"Journal Articles"	"/"	"http://www.tmrfindia.org/ijcsa/v9i23.pdf"	"https://dblp.org/rec/journals/ijcsa/AabergeA12"
"An intensional perspective on the semantic and pragmatic web."	"    Terje Aaberge    Rajendra Akerkar    Harold Boley"	"    84/98    03/6153    08/422"	"IJMSO"	"6"	"1"	"74-80"	"2011"	"journals/ijmso/AabergeAB11"	"Journal Articles"	"10.1504/IJMSO.2011.042491"	"https://doi.org/10.1504/IJMSO.2011.042491"	"https://dblp.org/rec/journals/ijmso/AabergeAB11"
"A global approach for a consistent identification of static and dynamic phenomena in a PEM Fuel Cell."	"    Sami El Aabid    Jérémi Régnier    Christophe Turpin    Olivier Rallières    Emilie Soyez    N. Chadourne    Julien d&apos;Arbigny    T. Hordé    E. Foch"	"    236/1648    86/376    126/1681    187/4500    236/1660    236/1711    236/1678    236/1650    236/1696"	"Mathematics and Computers in Simulation"	"158"	"/"	"432-452"	"2019"	"journals/mcs/AabidRTRSCdHF19"	"Journal Articles"	"10.1016/J.MATCOM.2018.10.008"	"https://doi.org/10.1016/j.matcom.2018.10.008"	"https://dblp.org/rec/journals/mcs/AabidRTRSCdHF19"
"The Potential of Time Series Merged from Landsat-5 TM and HJ-1 CCD for Crop Classification - A Case Study for Bole and Manas Counties in Xinjiang, China."	"    Pengyu Hao    Li Wang    Zheng Niu    Abdullah Aablikim    Ni Huang    Shiguang Xu    Fang Chen"	"    177/6572    58/6810    18/4605    196/8332    05/3771    189/3356    52/488"	"Remote Sensing"	"6"	"8"	"7610-7631"	"2014"	"journals/remotesensing/HaoWNAHXC14"	"Journal Articles"	"10.3390/RS6087610"	"https://doi.org/10.3390/rs6087610"	"https://dblp.org/rec/journals/remotesensing/HaoWNAHXC14"
"Ionic Actuators as Manipulators for Microscopy."	"    Indrek Must    Pille Rinne    Friedrich Krull    Friedrich Kaasik    Urmas Johanson    Alvo Aabloo"	"    211/6933    256/3608    256/3568    211/6903    211/6739    92/6637"	"Front. Robotics and AI"	"2019"	"/"	"/"	"2019"	"journals/firai/MustRKKJA19"	"Journal Articles"	"10.3389/FROBT.2019.00140"	"https://doi.org/10.3389/frobt.2019.00140"	"https://dblp.org/rec/journals/firai/MustRKKJA19"
"Dynamic coupling of a finite element solver to large-scale atomistic simulations."	"    Mihkel Veske    Andreas Kyritsakis    Kristjan Eimre    Vahur Zadin    Alvo Aabloo    Flyura Djurabekova"	"    168/9539    202/1743    202/2141    168/9513    92/6637    168/9481"	"J. Comput. Phys."	"367"	"/"	"279-294"	"2018"	"journals/jcphy/VeskeKEZAD18"	"Journal Articles"	"10.1016/J.JCP.2018.04.031"	"https://doi.org/10.1016/j.jcp.2018.04.031"	"https://dblp.org/rec/journals/jcphy/VeskeKEZAD18"
"Accurate classical short-range forces for the study of collision cascades in Fe-Ni-Cr."	"    Laurent Karim Béland    Artur Tamm    Sai Mu    German D. Samolyuk    Yuri N. Osetsky    Alvo Aabloo    Mattias Klintenberg    Alfredo Caro    Roger E. Stoller"	"    204/6063    204/5966    204/6083    77/3071    204/5959    92/6637    204/6067    204/6055    204/6029"	"Comput. Phys. Commun."	"219"	"/"	"11-19"	"2017"	"journals/cphysics/BelandTMSOAKCS17"	"Journal Articles"	"10.1016/J.CPC.2017.05.001"	"https://doi.org/10.1016/j.cpc.2017.05.001"	"https://dblp.org/rec/journals/cphysics/BelandTMSOAKCS17"
"Dynamic coupling of a finite element solver to large-scale atomistic simulations."	"    Mihkel Veske    Andreas Kyritsakis    Kristjan Eimre    Vahur Zadin    Alvo Aabloo    Flyura Djurabekova"	"    168/9539    202/1743    202/2141    168/9513    92/6637    168/9481"	"J. Comput. Phys."	"367"	"/"	"279-294"	"2018"	"journals/jcphy/VeskeKEZAD18"	"Journal Articles"	"10.1016/J.JCP.2018.04.031"	"https://doi.org/10.1016/j.jcp.2018.04.031"	"https://dblp.org/rec/journals/jcphy/VeskeKEZAD18"
"Real-time, automatic shape-changing robot adjustment and gender classification."	"    Morteza Daneshmand    Alvo Aabloo    Cagri Ozcinar    Gholamreza Anbarjafari"	"    174/1202    92/6637    158/9750    73/2033"	"Signal, Image and Video Processing"	"10"	"4"	"753-760"	"2016"	"journals/sivp/DaneshmandAOA16"	"Journal Articles"	"10.1007/S11760-015-0805-1"	"https://doi.org/10.1007/s11760-015-0805-1"	"https://dblp.org/rec/journals/sivp/DaneshmandAOA16"
"Application of multiphysics and multiscale simulations to optimize industrial wood drying kilns."	"    Vahur Zadin    H. Kasemägi    V. Valdna    Simon Vigonski    Mihkel Veske    Alvo Aabloo"	"    168/9513    168/9459    168/9454    168/9567    168/9539    92/6637"	"Appl. Math. Comput."	"267"	"/"	"465-475"	"2015"	"journals/amc/ZadinKVVVA15"	"Journal Articles"	"10.1016/J.AMC.2015.01.104"	"https://doi.org/10.1016/j.amc.2015.01.104"	"https://dblp.org/rec/journals/amc/ZadinKVVVA15"
"Verification of a multiscale surface stress model near voids in copper under the load induced by external high electric field."	"    Simon Vigonski    Mihkel Veske    Alvo Aabloo    Flyura Djurabekova    Vahur Zadin"	"    168/9567    168/9539    92/6637    168/9481    168/9513"	"Appl. Math. Comput."	"267"	"/"	"476-486"	"2015"	"journals/amc/VigonskiVADZ15"	"Journal Articles"	"10.1016/J.AMC.2015.01.102"	"https://doi.org/10.1016/j.amc.2015.01.102"	"https://dblp.org/rec/journals/amc/VigonskiVADZ15"
"hp-FEM electromechanical transduction model of ionic polymer-metal composites."	"    Deivid Pugal    Pavel Solín    K. J. Kim    Alvo Aabloo"	"    126/0210    55/2005    84/9201    92/6637"	"J. Comput. Appl. Math."	"260"	"/"	"135-148"	"2014"	"journals/jcam/PugalSKA14"	"Journal Articles"	"10.1016/J.CAM.2013.09.011"	"https://doi.org/10.1016/j.cam.2013.09.011"	"https://dblp.org/rec/journals/jcam/PugalSKA14"
"Electrical Model of a Carbon-Polymer Composite (CPC) Collision Detector."	"    Karl Kruusamäe    Andres Punning    Alvo Aabloo"	"    190/6046    59/4338    92/6637"	"Sensors"	"12"	"2"	"1950-1966"	"2012"	"journals/sensors/KruusamaePA12"	"Journal Articles"	"10.3390/S120201950"	"https://doi.org/10.3390/s120201950"	"https://dblp.org/rec/journals/sensors/KruusamaePA12"
"Development of a force field for Li2SiF6."	"    Anti Liivat    Alvo Aabloo    John O. Thomas"	"    78/287    92/6637    48/4276"	"Journal of Computational Chemistry"	"26"	"7"	"716-724"	"2005"	"journals/jcc/LiivatAT05"	"Journal Articles"	"10.1002/JCC.20209"	"https://doi.org/10.1002/jcc.20209"	"https://dblp.org/rec/journals/jcc/LiivatAT05"
"Public libraries as an infrastructure for a sustainable public sphere."	"    Ragnar Audunson    Svanhild Aabø    Roger Blomgren    Sunniva Evjen    Henrik Jochumsen    Håkon Larsen    Casper Hvenegaard Rasmussen    Andreas Vårheim    Jamie Johnston 0001    Masanori Koizumi"	"    119/7946    75/612    244/9733    224/2910    245/0029    215/9445    245/0241    15/10915    220/2792    87/7061"	"Journal of Documentation"	"75"	"4"	"773-790"	"2019"	"journals/jd/AudunsonABEJLRV19"	"Journal Articles"	"10.1108/JD-10-2018-0157"	"https://doi.org/10.1108/JD-10-2018-0157"	"https://dblp.org/rec/journals/jd/AudunsonABEJLRV19"
"Public libraries as public sphere institutions."	"    Ragnar Audunson    Svanhild Aabø    Roger Blomgren    Hans-Christoph Hobohm    Henrik Jochumsen    Mahmood Khosrowjerdi    Rudolf Mumenthaler    Karsten Schuldt    Casper Hvenegaard Rasmussen    Kerstin Rydbeck    Máté Tóth    Andreas Vårheim"	"    119/7946    75/612    244/9733    h/HCHobohm    245/0029    81/9017    251/2640    251/2782    245/0241    128/8224    119/7959    15/10915"	"Journal of Documentation"	"75"	"6"	"1396-1415"	"2019"	"journals/jd/AudunsonABHJKMS19"	"Journal Articles"	"10.1108/JD-02-2019-0015"	"https://doi.org/10.1108/JD-02-2019-0015"	"https://dblp.org/rec/journals/jd/AudunsonABHJKMS19"
"Patterns of perceived public library outcomes in five countries."	"    Pertti Vakkari    Svanhild Aabø    Ragnar Audunson    Frank Huysmans    Nahyun Kwon    Marjolein Oomes    Sei-Ching Joanna Sin"	"    v/PerttiVakkari    75/612    119/7946    169/8603    11/6841    169/8499    68/9553"	"Journal of Documentation"	"72"	"2"	"342-361"	"2016"	"journals/jd/VakkariAAHKOS16"	"Journal Articles"	"10.1108/JD-08-2015-0103"	"https://doi.org/10.1108/JD-08-2015-0103"	"https://dblp.org/rec/journals/jd/VakkariAAHKOS16"
"Perceived outcomes of public libraries in Finland, Norway and the Netherlands."	"    Pertti Vakkari    Svanhild Aabø    Ragnar Andreas Audunson    Frank Huysmans    Marjolein Oomes"	"    v/PerttiVakkari    75/612    119/7946    169/8603    169/8499"	"Journal of Documentation"	"70"	"5"	"927-944"	"2014"	"journals/jd/VakkariAAHO14"	"Journal Articles"	"10.1108/JD-06-2013-0072"	"https://doi.org/10.1108/JD-06-2013-0072"	"https://dblp.org/rec/journals/jd/VakkariAAHO14"
"From collections to connections - building a revised platform for library and information science."	"    Ragnar Andreas Audunson    Svanhild Aabø"	"    119/7946    75/612"	"Inf. Res."	"18"	"3"	"/"	"2013"	"journals/ires/AudunsonA13"	"Journal Articles"	"/"	"http://www.informationr.net/ir/18-3/colis/paperC29.html"	"https://dblp.org/rec/journals/ires/AudunsonA13"
"Public libraries, social capital and low intensive meeting places."	"    Ragnar Andreas Audunson    Andreas Vårheim    Erling Dokk-Holm    Svanhild Aabø"	"    119/7946    15/10915    128/6712    75/612"	"Inf. Res."	"12"	"4"	"/"	"2007"	"journals/ires/AudunsonVDA07"	"Journal Articles"	"/"	"http://www.informationr.net/ir/12-4/colis/colis20.html"	"https://dblp.org/rec/journals/ires/AudunsonVDA07"
"Valuing the benefits of public libraries."	"Svanhild Aabø"	"75/612"	"Inf. Econ. Policy"	"17"	"2"	"175-198"	"2005"	"journals/iepol/Aabo05"	"Journal Articles"	"10.1016/J.INFOECOPOL.2004.05.003"	"https://doi.org/10.1016/j.infoecopol.2004.05.003"	"https://dblp.org/rec/journals/iepol/Aabo05"
"The role and value of public libraries in the age of digital technologies."	"Svanhild Aabø"	"75/612"	"JOLIS"	"37"	"4"	"205-211"	"2005"	"journals/jolis/Aabo05"	"Journal Articles"	"10.1177/0961000605057855"	"https://doi.org/10.1177/0961000605057855"	"https://dblp.org/rec/journals/jolis/Aabo05"
